year,month,lop,service,routes,service_mode,total_call,bmph,gmph,average_cd,boxes,boxes_teus,on,moves,moves_teus,status,sumber_sheet
2024,3,ANL,APR,Port Klang-Singapore-Jakarta-Surabaya-Lae-Kimbe-Motukea Island- Townsville-Port Klang,Direct,1,9,15,0.7,59,94,0.0,59,94,INTERNATIONAL,SHEET12
2024,3,ANL,PAX,Singapore-Surabaya-Dili-Darwin-Singapore,Direct,3,19,26,1.1,103,170,1.0,308,509,INTERNATIONAL,SHEET12
2024,3,BEN,ETS/SDD,Singapore-Surabaya-Dili,Direct,2,11,17,1,72,123,1.0,144,245,INTERNATIONAL,SHEET12
2024,3,CMA,CHINA 1,Shanghai-Ningbo-Shantou-Shekou-Jakarta-Surabaya-Manila South-Manila North-Shanghai,Direct,1,48,24,2,1139,1810,0.0,1139,1810,INTERNATIONAL,SHEET12
2024,3,CMA,CS 2,HongKong–Nansha–Shekou–Surabaya–Semarang– Jakarta–Port Klang (North)–Port Klang (West)– HongKong,Direct,1,48,31,1.7,677,1020,1.0,677,1020,INTERNATIONAL,SHEET12
2024,3,CMA,KCS,North South: Lianyungang-Qingdao-Nansha-Port Kelang-Singapore-Jakarta-Surabaya-Davao-Shanghai-Dalian. East-West: Yantian-Nansha-Chiwan-Hongkong-Manila South-Manila North,Direct,4,71,32,2.4,1662,2797,0.0,6648,11188,INTERNATIONAL,SHEET12
2024,3,CMA,JSS,Singapore-Semarang-Surabaya-Singapore,Feeder,2,72,34,2.1,2296,3397,0.5,4591,6794,INTERNATIONAL,SHEET12
2024,3,CMA,Ad Hoc CMA,Singapore-Semarang-Surabaya-Singapore,Ad Hoc,0,0,0,0,0,0,0.0,0,0,INTERNATIONAL,SHEET12
2024,3,COS,GMI,Jakarta-Surabaya-Singapore-Pasir Gudang-Singapore-Port Kelang West,Feeder,0,0,0,0,0,0,0.0,0,0,INTERNATIONAL,SHEET12
2024,3,COS,SSS-SAT,Singapore-Surabaya-Singapore,Feeder,0,0,0,0,0,0,0.0,0,0,INTERNATIONAL,SHEET12
2024,3,COS,SSS-WED,Singapore-Surabaya-Singapore,Feeder,0,0,0,0,0,0,0.0,0,0,INTERNATIONAL,SHEET12
2024,3,COS,KCS,North South: Lianyungang-Qingdao-Nansha-Port Kelang-Singapore-Jakarta-Surabaya-Davao-Shanghai-Dalian. East-West: Yantian-Nansha-Chiwan-Hongkong-Manila South-Manila North,Direct,0,,,,,,,0,0,INTERNATIONAL,SHEET12
2024,3,COS,JSS,Singapore-Semarang-Surabaya-Singapore,Feeder,2,91,35,2.8,2656,3787,1.0,5311,7573,INTERNATIONAL,SHEET12
2024,3,COS,CHINA 1,,,1,62,35,2,1300,2032,0.0,1300,2032,INTERNATIONAL,SHEET12
2024,3,EMC,CIT,Ningbo-Shanghai-Hong Kong (Zhujiang)-Shekou-Surabaya-Semarang-Jakarta-Singapore-Laemchabang-Hong Kong-Ningbo,Direct,3,56,34,1.9,607,972,0.67,1820,2917,INTERNATIONAL,SHEET12
